sy_name,hostname,hd_name,hip_name,sy_snum,sy_pnum,sy_mnum,cb_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,sy_refname,ra,dec,glat,glon,sy_dist,sy_vmag,sy_gaiamag,rocky_count,gas_giant_count,ice_giant_count,has_rocky_planet,has_gas_giant,has_ice_giant,has_rocky_planet_in_carbon_zone,has_rocky_planet_in_sulfur_zone,has_rocky_planet_in_silicon_zone,has_gas_planet_in_carbon_zone,has_gas_planet_in_sulfur_zone,has_gas_planet_in_silicon_zone,distance_from_sol_ly,calculated_x,calculated_y,calculated_z,carbon_ranking,sulfur_ranking,silicon_ranking,combined_score,stability_score,stability_symbol,manual_entry,distance_from_origin_ly,origin_hostname
alf Cen,alf Cen B,HD 128621,HIP 71681,3.0,2.0,0.0,0,<a refstr=TURNBULL_2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv151001731T/abstract target=ref>Turnbull 2015</a>,K0V,5178.0,0.88,0.88,0.23,[Fe/H],-0.284,4.52,8.0,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,219.9141283,-60.8394714,-0.68705,315.73733,1.347491,1.35,,0,0,0,0,0,0,0,0,0,0,0,0,4.39492274596,-1.6425163033219377,-1.3740451170024839,-3.8379012692772405,0.0,0.0,0.0,0.0,0,circle,0,4.39492274596,Sol
eps Eri,eps Eri,HD 22049,HIP 16537,1.0,1.0,0.0,0,<a refstr=TURNBULL_2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv151001731T/abstract target=ref>Turnbull 2015</a>,K2.0V,5146.0,0.77,0.86,-0.03,[Fe/H],-0.456,4.61,2.6,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,53.2284306,-9.4581715,-48.05487,195.84135,3.2026,3.71548,3.47719,0,1,0,0,1,0,0,0,0,0,0,0,10.445472056,6.167929768945937,8.2533768853116,-1.7164786124597096,0.0,0.0,0.0,0.0,0,circle,0,10.445472056000002,Sol
eps Ind,eps Ind A,HD 209100,HIP 108870,3.0,1.0,0.0,0,<a refstr=SANGHI_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260308787S/abstract target=ref>Sanghi et al. 2026</a>,K5 V,4700.0,0.713,0.8,-0.17,[Fe/H],,,3.48,,2.0,18.33,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,330.8714021,-56.7969023,-48.05511,336.16647,3.63857,4.69,4.34562,0,1,0,0,1,0,0,0,0,1,1,1,11.867414369199999,5.67680229589103,-3.1633798939855358,-9.929877499243835,1.0,1.0,1.0,1.0,0,circle,0,11.867414369199999,Sol
gam Cep,gam Cep,HD 222404,HIP 116727,2.0,1.0,0.0,0,<a refstr=KNUDSTRUP_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.197K/abstract target=ref>Knudstrup et al. 2023</a>,K1 III-IV,4775.0,4.74,1.27,0.18,[Fe/H],,3.189,5.7,,0.0,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,354.8358233,77.6331009,15.31627,118.99221,14.1024,3.23006,2.92627,0,1,0,0,1,0,0,0,0,0,1,1,45.99582374399999,9.810987422901377,-0.8866851785619879,44.928544568802835,0.0,1.0,1.0,0.6666666666666666,0,circle,0,45.99582374399999,Sol
rho CrB,rho CrB,HD 143761,HIP 78459,1.0,3.0,0.0,0,<a refstr=TURNBULL_2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv151001731T/abstract target=ref>Turnbull 2015</a>,G2V,5823.0,1.35,0.97,-0.2,[Fe/H],0.262,4.18,11.04,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,240.2600639,33.3001861,48.92412,53.48367,17.4671,5.40816,5.24167,0,2,0,0,1,0,0,0,0,0,1,2,56.96999467599999,-23.62050365098333,-41.3441647979288,31.277981677516465,0.0,1.0,2.0,1.0,1,diamond,0,56.96999467599999,Sol
GJ 15,GJ 15 A,HD 1326,HIP 1475,2.0,2.0,0.0,0,<a refstr=HOWARD_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...794...51H/abstract target=ref>Howard et al. 2014</a>,M2 V,3567.0,0.3863,0.375,-0.32,[Fe/H],-1.663,4.9,,,1.45,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,4.6126677,44.0247296,-18.44687,116.69017,3.56228,8.09,7.2162,0,1,0,0,1,0,0,0,0,0,0,0,11.6185899568,8.327171548788117,0.6718413458938658,8.074557312153715,0.0,0.0,0.0,0.0,0,circle,0,11.6185899568,Sol
GJ 163,GJ 163,,HIP 19394,1.0,3.0,0.0,0,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.111T/abstract target=ref> Tuomi et al. 2013 </a>,M3.5 V,3500.0,,0.4,0.1,[Fe/H],-1.708,,6.0,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,62.3228353,-53.3711768,-45.32001,262.77663,15.1285,11.79,10.6771,0,1,0,0,1,0,0,0,0,0,0,0,49.34251046,13.674168139314432,26.070693108191733,-39.598225024001415,0.0,0.0,0.0,0.0,0,circle,0,49.34251046,Sol
GJ 179,GJ 179,,HIP 22627,1.0,1.0,0.0,0,<a refstr=XIAO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023RAA....23e5022X/abstract target=ref>Xiao et al. 2023</a>,M2 V,3370.0,,0.357,0.3,[Fe/H],,4.83,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,73.0245495,6.4752347,-22.86269,192.2274,12.356,11.963,10.7055,0,1,0,0,1,0,0,0,0,0,0,0,40.299835359999996,11.690958690671923,38.29808534025631,4.544763382900491,0.0,0.0,0.0,0.0,0,circle,0,40.29983535999999,Sol
GJ 238,GJ 238,,HIP 31300,1.0,1.0,0.0,0,<a refstr=TEY_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..283T/abstract target=ref>Tey et al. 2024</a>,M2.5 V,3485.0,0.4314,0.4193,0.15,[Fe/H],-1.61618,,,,,44.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,98.454881,-58.5250316,-25.12418,267.83346,15.2142,11.62,10.5294,0,0,0,0,0,0,0,0,0,0,0,0,49.622026152,-3.809406987601921,25.627370836723795,-42.32105577404255,0.0,0.0,0.0,0.0,0,circle,0,49.622026152,Sol
GJ 273,GJ 273,,HIP 36208,1.0,2.0,0.0,0,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>,M3.5,3382.0,0.293,0.29,0.09,[Fe/H],-2.05552,,,,,99.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,111.852091,5.225807,10.37353,212.34455,5.921535,9.84,,0,0,0,0,0,0,0,0,0,0,0,0,19.3134416946,-7.158811379268493,17.85121988749913,1.759090178167477,0.0,0.0,0.0,0.0,0,circle,0,19.3134416946,Sol
GJ 3021,GJ 3021,HD 1237,HIP 1292,2.0,1.0,0.0,0,<a refstr=NAEF_ET_AL__2001 href=https://ui.adsabs.harvard.edu/abs/2001A&A...375..205N/abstract target=ref> Naef et al. 2001 </a>,G6 V,5540.0,0.9,0.9,0.1,[Fe/H],-0.18,4.7,,,5.5,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,4.0634323,-79.8514218,-37.14415,304.86901,17.5559,6.59,6.39729,0,1,0,0,1,0,0,0,0,0,1,1,57.259621204,10.063861727220587,0.7149308445393293,-56.36374527520751,0.0,1.0,1.0,0.6666666666666666,0,circle,0,57.259621204,Sol
GJ 317,GJ 317,,,1.0,2.0,0.0,0,<a refstr=MORALES_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...700A.242M/abstract target=ref>Morales et al. 2025</a>,M3.5 V,3496.0,0.403,0.402,-0.02,[Fe/H],,,,,2.5,57.5,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,130.2445254,-23.452809,11.19034,246.79531,15.1968,12.4,10.7539,0,2,0,0,1,0,0,0,0,0,0,0,49.56527500799999,-29.376327479703484,34.707443754327926,-19.726662628636667,0.0,0.0,0.0,0.0,0,circle,0,49.56527500799999,Sol
GJ 3378,GJ 3378,,,1.0,1.0,0.0,0,<a refstr=MOUTOU_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...688A.196M/abstract target=ref>Moutou et al. 2024</a>,M4 V,3378.0,,0.26,-0.05,[Fe/H],,,,,,95.1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,90.2951302,59.5931917,17.17401,154.06787,7.72274,12.37,10.4084,0,0,0,0,0,0,0,0,0,0,0,0,25.1881798744,-0.0656679303492321,12.748481795084755,21.723634710343603,0.0,0.0,0.0,0.0,0,circle,0,25.1881798744,Sol
GJ 341,GJ 341,HD 304636,HIP 45908,1.0,1.0,0.0,0,<a refstr=DITOMASSO_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJ...979..214D/abstract target=ref>DiTomasso et al. 2025</a>,M1,3770.0,0.5066,0.48,-0.16,[Fe/H],,4.72,,,2.32,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,140.3993759,-60.2811692,-7.30635,279.58436,10.454,9.49,8.67538,1,0,0,1,0,0,0,0,1,0,0,0,34.09634824,-13.023917559519159,10.77456057906956,-29.61160885588893,0.0,0.0,2.0,0.6666666666666666,0,circle,0,34.09634824,Sol
GJ 3942,GJ 3942,,HIP 79126,1.0,1.0,0.0,0,<a refstr=PERGER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A..63P/abstract target=ref>Perger et al. 2017</a>,M0,3867.0,0.61,0.63,-0.04,[Fe/H],-1.12,4.65,,,1.67,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,242.2645452,52.9441443,45.46907,82.20459,16.9287,10.166,9.40765,0,0,0,0,0,0,0,0,0,0,0,0,55.213970771999996,-15.48425012460112,-29.44885889877387,44.06342333557581,0.0,0.0,0.0,0.0,0,circle,0,55.213970771999996,Sol
GJ 3998,GJ 3998,,HIP 84460,1.0,3.0,0.0,0,<a refstr=AFFER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...593A.117A/abstract target=ref>Affer et al. 2016</a>,M1,3722.0,0.49,0.5,-0.16,[Fe/H],-1.38722,4.77,,,0.93,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,259.0020507,11.0561751,26.15047,32.27249,18.1459,10.844,9.98337,0,0,0,0,0,0,0,0,0,0,0,0,59.183941604,-11.081188645396649,-57.01866907166218,11.349783226436031,0.0,0.0,0.0,0.0,0,circle,0,59.183941604,Sol
GJ 414,GJ 414 B,,,2.0,2.0,0.0,0,<a refstr=DEDRICK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...86D/abstract target=ref>Dedrick et al. 2021</a>,M2 V,3663.0,0.548,0.542,0.08,[Fe/H],-1.31876,,11.2,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,167.7635938,30.4439215,67.80357,198.37582,11.8728,10.82,9.04708,0,0,0,0,0,0,0,0,0,0,0,0,38.723849568,-32.62636260900852,7.075772410693053,19.621173080696767,0.0,0.0,0.0,0.0,1,diamond,0,38.723849568,Sol
GJ 436,GJ 436,,HIP 57087,1.0,1.0,0.0,0,<a refstr=TORRES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...677.1324T/abstract target=ref> Torres et al. 2008 </a>,,3350.0,0.464,0.452,-0.03,[Fe/H],-1.585,4.843,6.0,6.43,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,175.5505363,26.7030669,74.57238,210.55638,9.75321,10.67,9.57148,0,1,0,0,1,0,0,0,0,0,0,1,31.810679607599997,-28.33233830715126,2.204660510189197,14.294663870875729,0.0,0.0,1.0,0.3333333333333333,0,circle,0,31.810679607599997,Sol
GJ 463,GJ 463,,HIP 60398,1.0,1.0,0.0,0,<a refstr=ENDL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..238E/abstract target=ref>Endl et al. 2022</a>,M3 V,3540.0,0.49,0.49,,,,4.86,,,2.0,14.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,185.7440496,64.0324311,52.8104,128.07997,18.3554,11.595,10.5462,0,1,0,0,1,0,0,0,0,0,0,0,59.86723842399999,-26.081987983540063,-2.623581933684918,53.82316376040872,0.0,0.0,0.0,0.0,0,circle,0,59.867238423999986,Sol
GJ 480,GJ 480,,HIP 61706,1.0,1.0,0.0,0,<a refstr=OULD_ELHKIM_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...696A.152O/abstract target=ref>Ould-Elhkim et al. 2025</a>,,3509.0,0.449,0.45,0.26,[m/H],-1.562,4.88,,,,50.3,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,189.7134226,11.6950708,74.2865,291.48636,14.2358,11.49,10.3249,0,0,0,0,0,0,0,0,0,0,0,0,46.430915848,-44.81520520375607,-7.671209294475793,9.411688317705835,0.0,0.0,0.0,0.0,0,circle,0,46.430915848,Sol
GJ 508.2,GJ 508.2,,HIP 65143,1.0,1.0,0.0,0,<a refstr=MORALES_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...700A.242M/abstract target=ref>Morales et al. 2025</a>,M1.0 V,3720.0,0.53,0.54,-0.15,[Fe/H],,,,,2.0,36.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,200.2443854,34.2776644,80.44433,83.15516,16.6374,10.61,9.76539,0,0,0,0,0,0,0,0,0,0,0,0,54.263878344,-42.06928325652527,-15.515494565039429,30.561631625567813,0.0,0.0,0.0,0.0,0,circle,0,54.263878344,Sol
GJ 674,GJ 674,,HIP 85523,1.0,1.0,0.0,0,<a refstr=BONFILS_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...474..293B/abstract target=ref> Bonfils et al. 2007 </a>,M2.5,3600.0,,0.35,-0.28,[Fe/H],-1.796,,0.55,,1.0,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,262.1700476,-46.8989826,-6.78174,343.00208,4.54896,9.38,8.33063,0,0,0,0,0,0,0,0,0,0,0,0,14.8367059776,-1.3810975325429302,-10.043207980623729,-10.833023000496732,0.0,0.0,0.0,0.0,0,circle,0,14.8367059776,Sol
GJ 832,GJ 832,HD 204961,HIP 106440,1.0,1.0,0.0,0,<a refstr=BAILEY_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...690..743B/abstract target=ref> Bailey et al. 2009 </a>,M1.5,3657.0,0.48,0.45,-0.7,[Fe/H],,4.7,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,323.3912616,-49.0125169,-46.34872,349.16814,4.96435,8.66,7.73761,0,1,0,0,1,0,0,0,0,0,0,0,16.191525386,8.524896860570715,-6.333164645523231,-12.222219659898466,0.0,0.0,0.0,0.0,0,circle,0,16.191525386,Sol
GJ 96,GJ 96,,HIP 11048,1.0,1.0,0.0,0,<a refstr=HOBSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...618A.103H/abstract target=ref>Hobson et al. 2018</a>,M2,3785.0,,0.6,0.14,[Fe/H],-1.05159,,,,,29.6,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,35.5624031,47.8802075,-12.26466,138.29282,11.9315,9.4,8.63186,0,1,0,0,1,0,0,0,0,1,1,1,38.91530314,21.23175512180976,15.179380597760717,28.86520045996432,1.0,1.0,1.0,1.0,0,circle,0,38.91530314,Sol
GJ 9773,GJ 9773,,HIP 109638,1.0,1.0,0.0,0,<a refstr=MORALES_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...700A.242M/abstract target=ref>Morales et al. 2025</a>,M3.0 V,3528.0,0.362,0.358,-0.2,[Fe/H],,,,,2.0,56.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,333.1502333,8.5503355,-37.53603,70.11203,15.9211,12.033,10.9047,0,1,0,0,1,0,0,0,0,0,0,0,51.927622916,45.814582601082556,-23.192581097687253,7.720506772360963,0.0,0.0,0.0,0.0,0,circle,0,51.927622916,Sol
HD 147379,HD 147379,HD 147379,HIP 79755,2.0,1.0,0.0,0,<a refstr=HOBSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...618A.103H/abstract target=ref>Hobson et al. 2018</a>,M1,4156.0,,0.6,0.19,[Fe/H],-0.97102,,,,,28.8,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,244.1725686,67.2392041,39.47188,99.90191,10.7643,8.61,7.90052,0,1,0,0,1,0,0,0,0,1,1,1,35.108410307999996,-5.917557907226481,-12.226114833790122,32.37445132879442,1.0,1.0,1.0,1.0,0,circle,0,35.108410307999996,Sol
HD 22496,HD 22496,HD 22496,HIP 16711,1.0,1.0,0.0,0,<a refstr=LILLO_BOX_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A..60L/abstract target=ref>Lillo-Box et al. 2021</a>,,4385.0,0.674,0.684,-0.08,[Fe/H],-1.17393,4.69,,,,30.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,53.7565398,-48.4178173,-51.95852,258.09213,13.5956,8.57,8.01945,0,0,0,0,0,0,0,0,0,0,0,0,44.34286513599999,17.399579644683577,23.73571332639464,-33.16866336687399,0.0,0.0,0.0,0.0,0,circle,0,44.342865136,Sol
HIP 56998,HIP 56998,HD 101581,HIP 56998,1.0,2.0,0.0,0,<a refstr=KUNIMOTO_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169...47K/abstract target=ref>Kunimoto et al. 2025</a>,,4675.0,0.63,0.653,-0.343,[Fe/H],,4.654,6.88,,2.47,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,175.2563039,-44.4041485,16.67814,289.89696,12.7781,7.77,7.38399,0,0,0,0,0,0,0,0,0,0,0,0,41.676539835999996,-29.672647894373423,2.4623196960215137,-29.16170299130034,0.0,0.0,0.0,0.0,0,circle,0,41.67653983599999,Sol
LHS 475,LHS 475,,,1.0,1.0,0.0,0,<a refstr=LUSTIG_YAEGER_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023NatAs...7.1317L/abstract target=ref>Lustig-Yaeger et al. 2023</a>,M3.5 V,3300.0,0.2789,0.262,,,,5.0,,18.4,,79.32,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,290.2379403,-82.5597883,-27.83616,311.28216,12.4814,13.0,11.4174,0,0,0,0,0,0,0,0,0,0,0,0,40.708834984,1.8234977487720794,-4.946012617720335,-40.36608800590065,0.0,0.0,0.0,0.0,0,circle,0,40.708834984,Sol
Wolf 1061,Wolf 1061,,HIP 80824,1.0,3.0,0.0,0,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>,M3.5,3342.0,0.307,0.294,-0.09,[Fe/H],-1.9914,,,,,95.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,247.5748276,-12.6676866,23.67715,3.34702,4.30592,10.1,8.79444,0,0,1,0,0,1,0,0,0,0,0,0,14.0440164352,-5.227053329317271,-12.66598454666974,-3.0797965173310122,0.0,0.0,0.0,0.0,0,circle,0,14.0440164352,Sol
tau Cet,tau Cet,HD 10700,HIP 8102,1.0,3.0,0.0,0,<a refstr=TURNBULL_2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv151001731T/abstract target=ref>Turnbull 2015</a>,G8.5V,5283.0,0.83,0.8,-0.52,[Fe/H],-0.284,4.52,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,26.0093029,-15.9337987,-73.4424,173.07319,3.60304,3.49607,3.24854,0,0,0,0,0,0,0,0,0,0,0,0,11.7515311424,10.155596908668025,4.955256908004746,-3.2261067240748096,0.0,0.0,0.0,0.0,0,circle,0,11.7515311424,Sol
GJ 1148,GJ 1148,,HIP 57050,1.0,2.0,0.0,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,3357.57,0.36664,0.373585,0.1596,[Fe/H],,4.880226,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,175.4326081,42.7515862,68.91636,160.61794,11.0143,11.939,10.5769,0,2,0,0,1,0,0,0,0,0,1,1,35.923800308,-26.295209941972395,2.1006010734664127,24.385832727360544,0.0,1.0,1.0,0.6666666666666666,0,circle,0,35.923800308,Sol
GJ 229,GJ 229,HD 42581,HIP 29295,3.0,2.0,0.0,0,<a refstr=TURNBULL_2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv151001731T/abstract target=ref>Turnbull 2015</a>,M1.5V,3710.0,0.46,0.48,,,-1.222,4.81,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,92.6435993,-21.8677233,-18.44091,228.61506,5.75624,8.15,7.30724,0,0,1,0,0,1,0,0,0,0,0,0,18.7743221344,-0.8036237558567647,17.40489606427865,-6.992778664944426,0.0,0.0,0.0,0.0,0,circle,0,18.7743221344,Sol
GJ 433,GJ 433,,HIP 56528,1.0,3.0,0.0,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,3461.0,0.5,0.59,-0.17,[Fe/H],,4.81,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,173.8619194,-32.5436302,27.65117,284.88498,9.06456,9.81,8.89138,0,1,0,0,1,0,0,0,0,0,0,0,29.5646063136,-24.779554655153643,2.664829015556275,-15.904034201681654,0.0,0.0,0.0,0.0,0,circle,0,29.5646063136,Sol
GJ 676,GJ 676 A,,HIP 85647,2.0,4.0,0.0,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,3734.0,0.69,0.73,0.08,[Fe/H],,4.62,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,262.5448903,-51.6377777,-9.54226,339.10272,16.0272,9.58,8.86517,0,1,0,0,1,0,0,0,0,0,0,0,52.273674432,-4.209414575593054,-32.16841513061202,-40.987936463527014,0.0,0.0,0.0,0.0,0,circle,0,52.273674432,Sol
GJ 687,GJ 687,,HIP 86162,1.0,2.0,0.0,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,3561.3,0.397371,0.417834,0.0631,[Fe/H],,4.85936,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,264.1041731,68.3336741,31.96608,98.59611,4.54939,9.15,8.02754,0,2,0,0,1,0,0,0,0,1,1,1,14.838108448399998,-0.5627251756021041,-5.44926060610855,13.789791932800744,1.0,1.0,1.0,1.0,0,circle,0,14.8381084484,Sol
GJ 876,GJ 876,,HIP 113020,1.0,4.0,0.0,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,3293.74,0.367,0.369607,0.2129,[Fe/H],,4.874911,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,343.3239737,-14.2665958,-59.63511,52.00313,4.67517,10.16,8.8753,0,2,0,0,1,0,0,0,0,1,2,2,15.248347465199998,14.156554893136326,-4.240714276819879,-3.7577115907777214,1.0,2.0,2.0,1.6666666666666667,0,circle,0,15.248347465199998,Sol
Gl 378,Gl 378,,HIP 49189,1.0,1.0,0.0,0,<a refstr=HOBSON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..18H/abstract target=ref>Hobson et al. 2019</a>,M1,3879.0,0.56,0.56,0.06,[Fe/H],-1.22185,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,150.5865513,48.0824515,51.19188,168.74261,14.9545,10.03,9.26515,0,0,0,0,0,0,0,0,0,0,0,0,48.774999019999996,-28.38444152866119,16.002589852349818,36.29381664312098,0.0,0.0,0.0,0.0,0,circle,0,48.774999019999996,Sol
