sy_name,hostname,hd_name,hip_name,sy_snum,sy_pnum,sy_mnum,cb_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,sy_refname,ra,dec,glat,glon,sy_dist,sy_vmag,sy_gaiamag,rocky_count,gas_giant_count,ice_giant_count,has_rocky_planet,has_gas_giant,has_ice_giant,has_rocky_planet_in_carbon_zone,has_rocky_planet_in_sulfur_zone,has_rocky_planet_in_silicon_zone,has_gas_planet_in_carbon_zone,has_gas_planet_in_sulfur_zone,has_gas_planet_in_silicon_zone,distance_from_sol_ly,calculated_x,calculated_y,calculated_z,carbon_ranking,sulfur_ranking,silicon_ranking,combined_score,stability_score,stability_symbol,manual_entry,distance_from_origin_ly,origin_hostname
HD 20794,HD 20794,HD 20794,HIP 15510,1.0,4.0,0.0,0,<a refstr=TURNBULL_2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv151001731T/abstract target=ref>Turnbull 2015</a>,G8.0V,5401.0,0.92,0.85,-0.41,[Fe/H],-0.161,4.46,13.5,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,49.9997666,-43.0666533,-56.06514,250.73443,6.00278,4.26,4.06635,0,0,0,0,0,0,0,0,0,0,0,0,19.5784271368,9.193972279679064,10.956858849424323,-13.36910344882077,0.0,0.0,0.0,0.0,1,diamond,0,19.5784271368,Sol
HD 219134,HD 219134,HD 219134,HIP 114622,1.0,6.0,0.0,0,<a refstr=VOGT_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814...12V/abstract target=ref>Vogt et al. 2015</a>,K3 V,4913.0,0.77,0.794,0.08,[Fe/H],-0.50864,4.51,12.46,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,348.3372026,57.1696255,-3.20073,109.90724,6.53127,5.56911,5.2402,0,1,0,0,1,0,0,0,0,0,0,0,21.3021289812,11.310590994902222,-2.3346528053851285,17.89973817562774,0.0,0.0,0.0,0.0,1,diamond,0,21.3021289812,Sol
HD 222237,HD 222237,HD 222237,HIP 116745,1.0,1.0,0.0,0,<a refstr=TURNBULL_2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv151001731T/abstract target=ref>Turnbull 2015</a>,K4V,4723.0,0.72,0.74,-0.29,[Fe/H],-0.62,4.63,8.8,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,354.9078642,-72.7253271,-43.37999,310.16617,11.4469,7.09,6.73988,0,1,0,0,1,0,0,0,0,0,0,0,37.334751164,11.042902755716261,-0.9840250541727907,-35.65066111446397,0.0,0.0,0.0,0.0,0,circle,0,37.334751164,Sol
HD 238090,HD 238090,HD 238090,HIP 59514,1.0,1.0,0.0,0,<a refstr=STOCK_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...643A.112S/abstract target=ref>Stock et al. 2020</a>,M0.0 V,3933.0,0.57,0.578,-0.03,[Fe/H],-1.15366,4.7,,,2.0,96.7,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,183.0886375,54.486153,61.72135,134.94219,15.2354,9.71,9.037911,0,0,0,0,0,0,0,0,0,0,0,0,49.691171223999994,-28.823655130258715,-1.5553005508099433,40.4473786881356,0.0,0.0,0.0,0.0,0,circle,0,49.691171223999994,Sol
HD 27442,HD 27442,HD 27442,HIP 19921,2.0,1.0,0.0,0,<a refstr=TURNBULL_2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv151001731T/abstract target=ref>Turnbull 2015</a>,K1/2III,4846.0,3.43,1.48,0.42,[Fe/H],0.838,3.56,2.84,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,64.1205476,-59.3028771,-42.56321,270.20525,18.2704,4.44,4.14532,0,1,0,0,1,0,0,0,0,0,1,1,59.590005823999995,13.277993869828629,27.369925117964463,-51.240129507390634,0.0,1.0,1.0,0.6666666666666666,0,circle,0,59.590005823999995,Sol
HD 3651,HD 3651,HD 3651,HIP 3093,1.0,1.0,0.0,0,<a refstr=TURNBULL_2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv151001731T/abstract target=ref>Turnbull 2015</a>,K0V,5221.0,0.88,0.88,0.16,[Fe/H],-0.268,4.51,8.2,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,9.8387218,21.2488844,-41.53458,119.16987,11.1336,5.88437,5.65255,0,1,0,0,1,0,0,0,0,0,1,1,36.312904415999995,33.34641061637118,5.7831366295071485,13.160518867216922,0.0,1.0,1.0,0.6666666666666666,0,circle,0,36.312904416,Sol
HD 3765,HD 3765,HD 3765,HIP 3206,1.0,1.0,0.0,0,<a refstr=TURNBULL_2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv151001731T/abstract target=ref>Turnbull 2015</a>,K2V,5032.0,0.79,0.85,0.18,[Fe/H],-0.432,4.58,2.0,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10.2072994,40.1842918,-22.64223,120.73677,17.926,7.36,7.07827,0,1,0,0,1,0,0,0,0,0,0,1,58.46672455999999,43.96005375147034,7.915443994170889,37.72555236597456,0.0,0.0,1.0,0.3333333333333333,0,circle,0,58.466724559999996,Sol
HD 39091,HD 39091,HD 39091,HIP 26394,1.0,3.0,0.0,0,<a refstr=TURNBULL_2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv151001731T/abstract target=ref>Turnbull 2015</a>,G1V,5950.0,1.18,1.07,0.05,[Fe/H],0.215,4.35,5.44,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,84.2992798,-80.4646041,-29.77608,292.50808,18.2702,5.65,5.5128,0,0,0,0,0,0,0,0,0,0,0,0,59.589353511999995,0.9805470753660076,9.822565496944524,-58.76603429251741,0.0,0.0,0.0,0.0,0,circle,0,59.589353511999995,Sol
HD 40307,HD 40307,HD 40307,HIP 27887,1.0,5.0,0.0,0,<a refstr=TURNBULL_2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv151001731T/abstract target=ref>Turnbull 2015</a>,K3V,4827.0,0.72,0.74,-0.28,[Fe/H],-0.569,4.61,2.6,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,88.5172191,-60.0237289,-30.34064,268.81455,12.9363,7.17,6.84367,0,0,0,0,0,0,0,0,0,0,0,0,42.192518627999995,0.5455061461056487,21.07406556151414,-36.54852680926676,0.0,0.0,0.0,0.0,0,circle,0,42.192518627999995,Sol
HD 69830,HD 69830,HD 69830,HIP 40693,1.0,3.0,0.0,0,<a refstr=TURNBULL_2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv151001731T/abstract target=ref>Turnbull 2015</a>,K0V,5361.0,0.9,0.85,-0.06,[Fe/H],-0.201,4.47,9.4,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,124.6010091,-12.6364246,12.82251,234.56776,12.5591,5.96004,5.75392,0,1,0,0,1,0,0,0,0,1,1,1,40.962258196,-22.6973312213158,32.90041495076818,-8.961051724709655,1.0,1.0,1.0,1.0,0,circle,0,40.962258196,Sol
